,Points,Title,Description,TasterName,Taster_Twitter_Handle,Price,Designation,Variety,Region_1,Region_2,Province,Country,Winery,Vintage,County
113993,92,Caves Aliança 2011 Quinta da Terrugem Red (Alentejo),"This single-estate wine is rich and opulent. Dark tannins and generous black fruits enhance this juicy wood-aged wine. A touch of mint gives a highlight to the polished feel. It needs aging, so drink from 2017.",Roger Voss,@vossroger,26.0,Quinta da Terrugem,Portuguese Red,,,Alentejo,Portugal,Caves Aliança,,
113994,92,Sartori 2010  Amarone della Valpolicella,"Full-bodied but elegant, this conveys an attractive fragrance of blue flower, wet earth, exotic spice and black cherry. The juicy palate delivers black plum and crushed raspberry while notes of ground white pepper, clove and cinammon add depth. Thanks to fresh acidity and polished tannins, it's well-balanced and more accessible than most Amarones. Drink through 2020.",Kerin O’Keefe,@kerinokeefe,40.0,,Red Blend,Amarone della Valpolicella,,Veneto,Italy,Sartori,,
113995,92,Sokol Blosser 2011 Big Tree Block Pinot Noir (Dundee Hills),"A whiff of Bourbon and vanilla introduces this block selection, then leads into a fine-tuned palate with blue plum, cola, clean earth and graphite. It's elegant without being thin, and pushes through gracefully to a lingering, perfectly balanced finish.",Paul Gregutt,@paulgwine ,70.0,Big Tree Block,Pinot Noir,Dundee Hills,Willamette Valley,Oregon,US,Sokol Blosser,,
113996,92,Tantara 2012 Lindsay's Vineyard Pinot Noir (Sta. Rita Hills),"Tantara's 2012 Pinots tend to be cloudy and light like this one, which delivers aromas of cranberry and allspice. It's very soft on the palate, with light chai flavors and the tartness of barely ripe pomegranate.",Matt Kettmann,@mattkettmann,65.0,Lindsay's Vineyard,Pinot Noir,Sta. Rita Hills,Central Coast,California,US,Tantara,,
113997,92,Tedeschi 2009 Capitel Monte Olmi Riserva  (Amarone della Valpolicella Classico),"Aromas of underbrush, porcini mushroom, scorched earth and prune lead the nose on this full-bodied wine. The concentrated palate offers blueberry extract and black plum, while notes of mocha and black pepper add depth. It's still young, with big, chewy tannins and enough fresh acidity to age another decade or more. Drink 2015–2024.",Kerin O’Keefe,@kerinokeefe,105.0,Capitel Monte Olmi Riserva,Red Blend,Amarone della Valpolicella Classico,,Veneto,Italy,Tedeschi,,
113998,92,Lachini 2013 Rosé of Pinot Noir (Willamette Valley),"This offers exceptional concentration and power. Sweet strawberry fruit is dense and detailed, bringing hints of spice and milk chocolate into play through a long, utterly satisfying finish.",Paul Gregutt,@paulgwine ,21.0,Rosé of,Pinot Noir,Willamette Valley,Willamette Valley,Oregon,US,Lachini,,
113999,92,Tantara 2012 Rio Vista Vineyard Calera Clone Pinot Noir (Sta. Rita Hills),"Single-clone wines can be less complex than clonal blends, but not in this case. The nose is dominated by anise, but the slightly bitter flavors are richer than Tantara's other Rio Vista Vineyard bottling, almost reminiscent of spicy beef goulash. Similarities do persist, though, such as the supple and suave mouthfeel, with an enduring finish.",Matt Kettmann,@mattkettmann,70.0,Rio Vista Vineyard Calera Clone,Pinot Noir,Sta. Rita Hills,Central Coast,California,US,Tantara,,
114000,92,Tommasi 2010  Amarone della Valpolicella Classico,"Aromas of prune, plum cake, graphite and baking spices waft from the glass of this intense, full-bodied wine. The savory palate delivers mature black plum, blueberry extract, white pepper and mocha alongside velvety tannins and fresh acidity. It's surprisingly accessible already but will develop more complexity with aging. Drink through 2022.",Kerin O’Keefe,@kerinokeefe,75.0,,Red Blend,Amarone della Valpolicella Classico,,Veneto,Italy,Tommasi,,
114001,92,Thralls 2012 Bucher Vineyard Pinot Noir (Russian River Valley),"Made in small quantities, this Pinot is light in color and gorgeously rendered in earthy, forested notes of Bing cherry and strawberry. Lean and buoyant in acidity, it was given 30% new oak, providing subtle depth and complexity without masking the wine's balance of fruit and earth.",Virginie Boone,@vboone,45.0,Bucher Vineyard,Pinot Noir,Russian River Valley,Sonoma,California,US,Thralls,,
114002,92,Losada 2010 Altos de Losada Mencía (Bierzo),"Initially this smells closed, charred, oaky and minty more than lush and fruity, but with airing things get reversed. The palate is rich, ripped and juicy, with excellent structure. Flavors of blackberry, cassis, spice and reedy tobacco finish dry, powerful and with a strong note of licorice. Drink through 2020.",Michael Schachner,@wineschach,44.0,Altos de Losada,Mencía,Bierzo,,Northern Spain,Spain,Losada,,
114004,92,Manuel Olivier 2012 Les Damaudes  (Vosne-Romanée),"Old vines give this single-parcel wine its power and concentration. Long wood aging hasn't diminished the richness of the fruit, the juicy acidity and the succulent berry flavors. It's a wine that's full and structured, likely to age well. Drink from 2018.",Roger Voss,@vossroger,80.0,Les Damaudes,Pinot Noir,Vosne-Romanée,,Burgundy,France,Manuel Olivier,,
114005,92,Masi 2007 Mazzano  (Amarone della Valpolicella Classico),"Blue flower, tilled soil, underbrush, tobacco and dried-cherry aromas waft from the glass of this single-vineyard bottling. The warm palate delivers raisin, prune, graphite, mocha, vanilla and a hint of orange peel alongside bracing tannins. The long finish closes on a mineral note.",Kerin O’Keefe,@kerinokeefe,170.0,Mazzano,Red Blend,Amarone della Valpolicella Classico,,Veneto,Italy,Masi,,
114006,92,Masi 2009 Costasera Riserva  (Amarone della Valpolicella Classico),"This toasty expression of Amarone delivers espresso, subtle oak, plum cake and smoky aromas. On the palate, notes of tobacco leaf and grilled herbs accent the primary raisin and prune flavors alongside tightly packed tannins that need a few more years to unwind. Drink after 2017.",Kerin O’Keefe,@kerinokeefe,77.0,Costasera Riserva,Red Blend,Amarone della Valpolicella Classico,,Veneto,Italy,Masi,,
114007,92,Mount Eden Vineyards 2012 Estate Bottled Pinot Noir (Santa Cruz Mountains),"Extremely light and transparent in color, this wine has a nose that mixes light raspberry fruit with diced green olive, pimento and burned rubber funk. The olive tapenade carries to the palate with a just-ripe strawberry, making for a lean, savory vintage, which is carried with vibrant acidity that lasts into days two and three.",Matt Kettmann,@mattkettmann,60.0,Estate Bottled,Pinot Noir,Santa Cruz Mountains,Central Coast,California,US,Mount Eden Vineyards,,
114008,92,Aubichon Cellars 2012 Reserve Pinot Noir (Willamette Valley),"This shows some extra concentration in its plum and cherry fruit. The mouthfeel has a pleasing texture, and the streaks of herb and cola are nicely integrated. As with many of the wines of this vintage, it's forward and fruit-driven and ready for immediate enjoyment.",Paul Gregutt,@paulgwine ,45.0,Reserve,Pinot Noir,Willamette Valley,Willamette Valley,Oregon,US,Aubichon Cellars,,
114009,92,Ayala 2007 Blanc de Blancs Brut Chardonnay (Champagne),"This Blanc de Blancs has shed its initial minerality and gained rich fruitiness. Apricots as well as more citrus flavors abound, bringing out a full and round character. From Grand Cru vineyards on the Côte des Blancs, this is ready to drink.",Roger Voss,@vossroger,95.0,Blanc de Blancs Brut,Chardonnay,Champagne,,Champagne,France,Ayala,,
114011,92,Byron 2012 Nielson Vineyard Pinot Noir (Santa Maria Valley),"A muskiness is present on the nose of this wine from Santa Barbara County's first commercial vineyard, along with fruitier aspects of strawberry-boysenberry tart. It's fruit-forward on the palate, yet cinnamon toast and cedar give it a more serious edge as well.",Matt Kettmann,@mattkettmann,36.0,Nielson Vineyard,Pinot Noir,Santa Maria Valley,Central Coast,California,US,Byron,,
114013,92,La Chablisienne 2012 Fourchaume Premier Cru  (Chablis),"While the wine has all the steely crispness you expect in a Chablis, it also offers ripe fruitiness that gives a full-bodied, round character. Acidity cuts through to give a lift to the fruit and to the tight texture of this young wine. It should age until 2015.",Roger Voss,@vossroger,36.0,Fourchaume Premier Cru,Chardonnay,Chablis,,Burgundy,France,La Chablisienne,,
114204,92,La Montagne 2012 Bouna Terra Vineyard Pinot Noir (Sta. Rita Hills),"Uniquely sea-salty aromas of kelp mesh with sharp Italian herbs and heavily spiced cherry on the nose of this wine from a vineyard at the western edge of the Sta. Rita Hills. Flavors range from raspberry and tart cranberry to clove, cardamom and espresso.",Matt Kettmann,@mattkettmann,50.0,Bouna Terra Vineyard,Pinot Noir,Sta. Rita Hills,Central Coast,California,US,La Montagne,,
114205,92,Marangona 2012 Trecampane  (Lugana),This polished wine opens with delicate white floral aromas and hints of stone fruit. The savory but elegant palate delivers white peach and lemon accented with almond and mineral notes. It's a subtle wine that shows true elegance.,Kerin O’Keefe,@kerinokeefe,19.0,Trecampane,Turbiana,Lugana,,Lombardy,Italy,Marangona,,
114206,92,Altocedro 2012 Reserva La Consulta Vineyard Malbec (Uco Valley),"Inky, black aromas of asphalt, licorice and shoe polish hit hard, and the alcohol is immediately evident. This is gigantic in the mouth and carries some burn, but flavors of coffee, chocolate cake and wild berry are exotic and finish firm and generous, with multiple layers. Drink this ripe Malbec through 2018.",Michael Schachner,@wineschach,34.0,Reserva La Consulta Vineyard,Malbec,Uco Valley,,Mendoza Province,Argentina,Altocedro,,
114207,92,Adelsheim 2012 Calkins Lane Vineyard Pinot Noir (Chehalem Mountains),"Raspberries, a hint of mint and some tea flavors highlighting the tannins are the first impressions. Young, bright, juicy and concentrated, this wine seems sure to improve through 2020 or longer. If you want to drink it young, give it a good hour of decanting first.",Paul Gregutt,@paulgwine ,75.0,Calkins Lane Vineyard,Pinot Noir,Chehalem Mountains,Willamette Valley,Oregon,US,Adelsheim,,
114208,92,Bacalhôa Wines of Portugal 2001 Colheita  (Moscatel de Setúbal),"Extended wood aging has deepened the gold color of this wine and brought out the old wood, old gold flavors. It is opulent, with plenty of acidity as well as spice and perfume. It is not the sort of wine to age in bottle, so drink now with dried fruits or blue cheeses.",Roger Voss,@vossroger,21.0,Colheita,Moscatel,,,Moscatel de Setúbal,Portugal,Bacalhôa Wines of Portugal,,
114209,92,Cebada 2012 Estate Pinot Noir (Santa Ynez Valley),"From an estate just northwest of the already rather western Sta. Rita Hills appellation, this mashes up raspberry, oak tree roots, black tea and vanilla on the nose. The flavors are crisp and clean with red fruit, brown spice and just enough tannins and acidity.",Matt Kettmann,@mattkettmann,42.0,Estate,Pinot Noir,Santa Ynez Valley,Central Coast,California,US,Cebada,,
114210,92,J. Lohr 2012 Highlands Bench Pinot Noir (Santa Lucia Highlands),"J. Lohr dives into the dark side of Pinot Noir, presenting a deeply hued wine with black cherries, slate and yeast on the nose. Licorice and blackberry power the palate with sage as the prevailing herb, all balancing out well despite the relatively high alcohol content.",Matt Kettmann,@mattkettmann,35.0,Highlands Bench,Pinot Noir,Santa Lucia Highlands,Central Coast,California,US,J. Lohr,,
114211,92,Pierre Gimonnet et Fils 2009 Cuvée Gastronome Premier Cru Blanc de Blancs Brut Chardonnay (Champagne),"Although this wine is labeled Brut, it is in fact right at the driest end of that category. Bone dry, therefore, while full of white fruits and crisp lemon zest flavors. The texture is tight, steely and speaks strongly of the chalk of the soil. It is still young, so this vintage wine can be drunk now for its fruitiness or left until 2016 for a more rounded, toasty character.",Roger Voss,@vossroger,68.0,Cuvée Gastronome Premier Cru Blanc de Blancs Brut,Chardonnay,Champagne,,Champagne,France,Pierre Gimonnet et Fils,,
114212,92,Barone Pizzini 2010 Rosé Pinot Nero (Franciacorta),"Made with organically grown Pinot Nero, this opens with a fragrance of perfumed red berry and cream-filled pastry. The elegant palate offers creamy strawberry, wild raspberry and spice alongside bright acidity and a soft mousse.",Kerin O’Keefe,@kerinokeefe,46.0,Rosé,Pinot Nero,Franciacorta,,Lombardy,Italy,Barone Pizzini,,
114213,92,Ca' del Bosco 2009 Vintage Collection Dosage Zero Sparkling (Franciacorta),"Made without the added dosage used to enhance sweetness in traditionally crafted sparklers, this wine proves that with great fruit no corrections are needed. Flavors include ripe McIntosh apple, bright nectarine, toasted almond and vanilla alongside an elegant perlage. It finishes dry in flavor, with tangy acidity.",Kerin O’Keefe,@kerinokeefe,75.0,Vintage Collection Dosage Zero,Sparkling Blend,Franciacorta,,Lombardy,Italy,Ca' del Bosco,,
114214,92,Damien et Romain Bouchard 2012 Montée de Tonnerre Premier Cru  (Chablis),"A soft and round exterior hides the concentrated, structured core that sets this wine on a long road to maturity. Creamed pears, quince and tight acidity are developing to come through and fill the wine with a crisp character allied to steeliness. Drink from 2017.",Roger Voss,@vossroger,40.0,Montée de Tonnerre Premier Cru,Chardonnay,Chablis,,Burgundy,France,Damien et Romain Bouchard,,
114215,92,Delamotte 2004 Blanc de Blancs Brut Chardonnay (Champagne),"This is the best Delamotte vintage since 1996, a ripe and rich wine that brings out the chalky soil character with a strong mineral content. It has weight along with a relatively high dosage that gives softness. It is balanced, fruity and ready to drink.",Roger Voss,@vossroger,112.0,Blanc de Blancs Brut,Chardonnay,Champagne,,Champagne,France,Delamotte,,
114216,92,J. Dumangin Fils 2008 Premium Rosé de Saignée Premier Cru Extra-Brut  (Champagne),"A lightly orange-colored rosé that is made by macerating the grapes on the skins for 72 hours. The result is a soft wine, very dry while also showing a rounded character that gives richness. Ripe red fruits and a touch of grapefruit are sustained by a mineral texture. Drink now.",Roger Voss,@vossroger,90.0,Premium Rosé de Saignée Premier Cru Extra-Brut,Champagne Blend,Champagne,,Champagne,France,J. Dumangin Fils,,
114223,92,Dominio de Tares 2011 Baltos Mencía (Bierzo),"Dark, ripe aromas of blackberry and cassis are accented by tree bark, baking spice and licorice notes. This feels ripe, loamy and borderline jammy. Flavors of blackberry, boysenberry, cocoa and loamy earth finish toasty and weighty. Drink through 2017.",Michael Schachner,@wineschach,17.0,Baltos,Mencía,Bierzo,,Northern Spain,Spain,Dominio de Tares,,
114224,92,Dr. H. Thanisch (Erben Thanisch) 2012 Berncasteler Doctor Spätlese Riesling (Mosel),"While the nose is savory with dusty mineral and earth tones, the palate of this semi-sweet Riesling is intensely concentrated with juicy, ripe peach and marmalade flavors. It's lacy and light in texture, but penetrating fruit flavors linger long on the finish.",Anna Lee C. Iijima,,76.0,Berncasteler Doctor Spätlese,Riesling,,,Mosel,Germany,Dr. H. Thanisch (Erben Thanisch),,
114225,92,Feudi di San Gregorio 2011 Dubl + Greco (Campania),"Made entirely with native grape Greco, this sparkler from southern Italy features aromas of lemon blossom, chamomile and yeasty notes of bread crust. The creamy palate delivers nectarine, citrus, lemon cream pie, honey and mineral alongside an elegant mousse and crisp acidity.",Kerin O’Keefe,@kerinokeefe,44.0,Dubl +,Greco,Campania,,Southern Italy,Italy,Feudi di San Gregorio,,
114226,92,Finca Sophenia 2012 Synthesis Malbec (Tupungato),"Concentrated berry and mossy aromas are inviting and introduce a fresh palate that rolls comfortably along. Black fruit, spice, herb and licorice flavors finish minty, spicy and long. This wine is from the Tupungato region, and it shows: It's balanced and herbal, but also loaded with fruit.",Michael Schachner,@wineschach,35.0,Synthesis,Malbec,Tupungato,,Mendoza Province,Argentina,Finca Sophenia,,
114227,92,García Figuero 2009 Tinto Figuero Viñas Viejas VS  (Ribera del Duero),"Formerly known as Vendimia Seleccionada, this old-vines Tempranillo is strutting its stuff. Savory, rooty, baked aromas of black fruits come with a hint of grit and leather. The mouthfeel is powerful and deep, while flavors of toasty oak, chocolate, coconut, tobacco and vanilla accent spicy blackberry and cassis notes that finish long and strong. Drink through 2024.",Michael Schachner,@wineschach,69.0,Tinto Figuero Viñas Viejas VS,Tempranillo Blend,Ribera del Duero,,Northern Spain,Spain,García Figuero,,
114228,92,Quanta Terra 2011 Grande Reserva Red (Douro),"Gorgeously ripe and rich, this powerful wine has a dark structure and layer after layer of juicy black fruits. It's still young and the mineral side of the wine is still showing, but its future is looking good with that beautiful fruitiness. Drink from 2018.",Roger Voss,@vossroger,35.0,Grande Reserva,Portuguese Red,,,Douro,Portugal,Quanta Terra,,
114229,92,Adelsheim 2012 Elizabeth's Reserve Pinot Noir (Willamette Valley),"Soft and seductive, this wine is seriously sexy with its palate-coating flavor-fest that runs from bright, crisp raspberry into ripe Bing cherry. Lemony acids underscore the lush fruit, and 10 months aging in one-third new barrels brings finishing highlights of caramel and toasted coconut.",Paul Gregutt,@paulgwine ,55.0,Elizabeth's Reserve,Pinot Noir,Willamette Valley,Willamette Valley,Oregon,US,Adelsheim,,
114230,92,Bruno Paillard 2004 Assemblage Brut  (Champagne),"Very dry, this is a crisp, steely and structured wine, a blend of Chardonnay and Pinot Noir that still tastes young. A blend made from nine different villages, it is so fresh and fruity with its white and citrus fruits, sliced apples and lemon juice. A zesty character at the back gives it a lively aftertaste.",Roger Voss,@vossroger,85.0,Assemblage Brut,Champagne Blend,Champagne,,Champagne,France,Bruno Paillard,,
114232,92,Dominio de Tares 2010 Bembibre Mencía (Bierzo),"Raisin, cassis, earth and lead pencil aromas make up the bouquet on this ripe, meaty Mencía. The palate pushes up against jammy, but shows enough structure and restraint to rate highly. Earthy, loamy flavors of ripe blackberry blend with herbal notes and graphite to usher in a smooth, warm, oaky finish. Drink through 2020.",Michael Schachner,@wineschach,47.0,Bembibre,Mencía,Bierzo,,Northern Spain,Spain,Dominio de Tares,,
114552,92,Double Eagle 2012 Grieve Family Vineyard Red (Napa Valley),"Merlot from the family's vineyard in Lovall Valley informs the majority of this blend at 44%, with 36% Cabernet Sauvignon and 20% Cabernet Franc in the wine as well. Dry and herbal, it sings in bold notes of red currant, cedar and anise, offering elegance around integrated tannins and a mouthcoating finish. Drink now through 2022.",Virginie Boone,@vboone,80.0,Grieve Family Vineyard,Bordeaux-style Red Blend,Napa Valley,Napa,California,US,Double Eagle,,
114553,92,Sadie Family 2012 Skerpioen White (Swartland),"A blend of 51% Palomino and 49% Chenin Blanc, this is a pure and mineral-driven wine, with superb verve to the clean aromas and flavors of apple flesh, white peach, orange glossom, almond skin and minty fynbos. It's balanced and complex, with layered notes of roasted nuts, honeysuckle, toasted apple skin and sweet spice all mingling harmoniously. Delicious now, but will hold well through 2020.",Lauren Buzzeo,@laurbuzz,53.0,Skerpioen,White Blend,,,Swartland,South Africa,Sadie Family,,
114554,92,Adelsheim 2013 Boulder Bluff Vineyard Pinot Noir (Chehalem Mountains),"Four clones comprise this vineyard blend, which opens into a moderately soft, well-rounded palate with sweet spice, pumpkin bread, a dash of Dr Pepper and plenty of strawberry and cherry fruit. It's already quite accessible and drinking deliciously. Pop this while waiting for some of the other 2013 Adelsheims to develop further in bottle.",Paul Gregutt,@paulgwine ,75.0,Boulder Bluff Vineyard,Pinot Noir,Chehalem Mountains,Willamette Valley,Oregon,US,Adelsheim,,
114555,92,Aiken 2013 Fiddlestix Vineyard Pinot Noir (Sta. Rita Hills),"Plump blackberries and warm gingerbread dusted with clove, nutmeg and anise makes for a very complex and layered nose. The palate is hearty with black plum skins, bramble and ripe elderberry, with lots of sage and coyote brush playing into a strong chaparral spice.",Matt Kettmann,@mattkettmann,55.0,Fiddlestix Vineyard,Pinot Noir,Sta. Rita Hills,Central Coast,California,US,Aiken,,
114556,92,Alexandre Monmousseau 2014 Clos le Vigneau  (Vouvray),"This is a very fine, medium dry wine. It is superbly balanced between honeyed ripeness and tight, bright acidity. Crisp apples dominate the fruit profile of this young wine. That makes it delicious now but the wine is set to age well into a mature wine with great complexity. If you can wait, it will be more mature from 2019.",Roger Voss,@vossroger,,Clos le Vigneau,Chenin Blanc,Vouvray,,Loire Valley,France,Alexandre Monmousseau,,
114557,92,Amalie Robert 2013 Her Silhouette Chardonnay (Willamette Valley),"Here is an outstanding stainless-fermented Chardonnay, thick and fruity. It's totally loaded with ripe apple and pear-pastry goodness, and the flavors dive deep into a thoroughly delicious, textural finish.",Paul Gregutt,@paulgwine ,22.0,Her Silhouette,Chardonnay,Willamette Valley,Willamette Valley,Oregon,US,Amalie Robert,,
114558,92,B Cellars 2012 Blend 24 Red (Napa Valley),"A majority of Cabernet Sauvignon drives this blend, with 34% Sangiovese and 12% Petite Sirah providing spice and substance. Black leather, chocolate and a distinct taste of baked strawberry provide flavor atop soft, full-bodied layers of high-octane intensity.",Virginie Boone,@vboone,51.0,Blend 24,Cabernet Blend,Napa Valley,Napa,California,US,B Cellars,,
114559,92,Biecher & Schaal 2014 Rosacker Grand Cru Riesling (Alsace),"There is a whiff of flint before the tangy nose reveals itself with orange and lemon zest. This has a sprightly, lively feel and a textured, dry palate where orange zest, lemon juice and tangerine freshness play against a fruit-drenched backdrop of chalky stone. This is chock-full of fruit and joy but also really fresh. Drink 2016–2025.",Anne Krebiehl MW,@AnneInVino,30.0,Rosacker Grand Cru,Riesling,Alsace,,Alsace,France,Biecher & Schaal,,
114560,92,Biecher & Schaal 2014 Sommerberg Grand Cru Riesling (Alsace),"While the nose gives little away, the palate has a shy but very seductive nature: floral borders of honeysuckle adorn the edges of tart, fresh apple fruit and are highlighted by lemony acidity. The body is light and dry and shows playfulness and charm against a more serious, stony background. A very charming, subtle wine.",Anne Krebiehl MW,@AnneInVino,30.0,Sommerberg Grand Cru,Riesling,Alsace,,Alsace,France,Biecher & Schaal,,
114561,92,Casa da Passarella 2014 O Oenólogo Branco Encruzado (Dão),"The Encruzado, grown almost exclusively in the Dão is one of Portugal's unsung great grapes. This wine—perfumed, steely and mineral—really brings out the granite soil of the region. It's tight, taut and packed with acidity as well as hints of yellow fruits. Drink from late 2016.",Roger Voss,@vossroger,35.0,O Oenólogo Branco,Encruzado,,,Dão,Portugal,Casa da Passarella,,
114562,92,Domaine Barmès-Buecher 2012 Hengst Grand Cru Riesling (Alsace),"Stony, peachy notes are evident on the nose. The palate confirms these and majors on that stony, structural framework. Pervaded as it is by ripe stone fruit flavor of yellow plum and peach, there is a pleasant bitter edge, reminiscent of honey. This is an exciting tightrope walk between the slightest smidgeon of residual sweetness and electric acidity, finishing dry. Ready now, will drink well until 2018.",Anne Krebiehl MW,@AnneInVino,51.0,Hengst Grand Cru,Riesling,Alsace,,Alsace,France,Domaine Barmès-Buecher,,
114564,92,Domaine Fernand Engel 2013 Praelatenberg de Kintzheim Grand Cru Riesling (Alsace),"Spiced, baked apple constitutes the main aroma on nose and palate: ripe but tart baked fruit scented with edges of cinnamon and citrus. This brims with fruit and lemony brightness on a citrus-focussed, dry palate of concentration and earthy poise. Lasting and delicious. Drink 2016–2020.",Anne Krebiehl MW,@AnneInVino,24.0,Praelatenberg de Kintzheim Grand Cru,Riesling,Alsace,,Alsace,France,Domaine Fernand Engel,,
114565,92,Martin Ray 2013 Malbec (Dry Creek Valley),"Aromas of fresh-baked bread greet the nose on entry into this wine, an unusual find in the appellation that's blended with small percentages of Cabernet Sauvignon and Petit Verdot. Toast topped in plum jam accompanies a strong presence of blackberry, leather and tobacco, dusted in cinnamon. Drink now through 2023.",Virginie Boone,@vboone,30.0,,Malbec,Dry Creek Valley,Sonoma,California,US,Martin Ray,,
114566,92,On Q 2012 Appassionata Cabernet Sauvignon (Coombsville),"Black as a cave and thick as jam, this wine offers a decadence of black licorice and chocolate truffle, aged entirely in new French oak for 30 months. Fruit plays a supporting part to the richness, making for a wine that's a dessert in itself.",Virginie Boone,@vboone,125.0,Appassionata,Cabernet Sauvignon,Coombsville,Napa,California,US,On Q,,
114567,92,Quinta da Devesa NV 30 Years White  (Port),"At 30-years-old, white Port and its more familiar cousin tawny Port are almost alike in their spice, wood and intense character. The differences with white Ports, as here, are their greater fruitiness, spice and of course their beautiful gold color. They offer a fine, concentrated wine that should be drunk now.",Roger Voss,@vossroger,58.0,30 Years White,Port,,,Port,Portugal,Quinta da Devesa,,
114568,92,Quinta da Rede 2015 Reserva Branco White (Douro),"This is an impressive, rich wood-aged wine. It is generous and full in the mouth and packed with ripe peach and apricot flavors. There is a depth to the wine coming from barrel fermentation that has given it richness. Nutmeg flavors are matched with toastiness to the give this ripe wine extra complexity. Drink from 2017.",Roger Voss,@vossroger,20.0,Reserva Branco,Portuguese White,,,Douro,Portugal,Quinta da Rede,,
114569,92,Quinta de Soalheiro 2014 Reserva Alvarinho (Vinho Verde),"Soalheiro is in the heartland of Alvarinho in the northern Vinho Verde, close to Spain. This Reserva is a fine expression of the grape that has been enhanced and given added richness by light oak aging. It's a wine that should age to soften the tight crispness. Drink from the end of 2016.",Roger Voss,@vossroger,35.0,Reserva,Alvarinho,,,Vinho Verde,Portugal,Quinta de Soalheiro,,
114570,92,Rocca 2012 Vespera Red (Napa Valley),"Aromas of Dr Pepper, black pepper and clove provide a heady invitation into this wine, which is soft, layered and expressive in blueberry and blackberry-baked fruit. Full bodied with integrated oak, it's approachable and luxurious.",Virginie Boone,@vboone,45.0,Vespera,Red Blend,Napa Valley,Napa,California,US,Rocca,,
114571,92,Rui Roboredo Madeira 2013 Castello d'Alba Vinhas Velhas Grande Reserva Red (Douro),"With a blend that's dominated by 75% Touriga Nacional, this wine is superrich, perfumed and dense with tannins as well as fresher fruit. Black berries and dark plums push through the dry core that is solid and needing to age. This is a very fine wine which will be ready to drink from 2018.",Roger Voss,@vossroger,25.0,Castello d'Alba Vinhas Velhas Grande Reserva,Portuguese Red,,,Douro,Portugal,Rui Roboredo Madeira,,
114572,92,Seghesio 2013 Old Vine Zinfandel (Sonoma County),"Grippy in wound-up black fruit and black pepper, this is a ripe, bright and softly layered wine, completely in keeping with its old-vine status in dusty, complex notes. Spicy cinnamon and leathery pepper combine on the lengthy finish. Drink now through 2021.",Virginie Boone,@vboone,40.0,Old Vine,Zinfandel,Sonoma County,Sonoma,California,US,Seghesio,,
114573,92,Domaine Serene 2013 Clos du Lune Vineyard Chardonnay (Dundee Hills),"Quite toasty, with deep scents of buttered nuts, this luscious wine delivers generous flavors of new barrels, ripe apples, pears and buttered popcorn, set against defining acids.",Paul Gregutt,@paulgwine ,70.0,Clos du Lune Vineyard,Chardonnay,Dundee Hills,Willamette Valley,Oregon,US,Domaine Serene,,
114574,92,Tolosa 2013 1772 Pinot Noir (Edna Valley),"Beet juice, dense pomegranate, root beer, turned earth, fire-roasted meats and toasted sagebrush aromas power the action-packed nose on this bottling by one of the appellation's bigger outfits. The palate combines juicy elderberry and bramble fruit with cedar, dried mint and wild herbs, finishing on a menthol-like sensation, with decent grip for a Pinot.",Matt Kettmann,@mattkettmann,60.0,1772,Pinot Noir,Edna Valley,Central Coast,California,US,Tolosa,,
114575,92,Wirra Wirra 2012 RSW Shiraz (McLaren Vale),"This wine sees less new oak than many top-of-the-line Shiraz (30%), so it showcases mulberry and black cherry fruit. Sure, there's a hint of vanilla, but the oak plays a suitably supporting role, while the ripe fruit tannins are rich and velvety on the midpalate, then firm up a bit on the finish. Drink 2018–2030.",Joe Czerwinski,@JoeCz,70.0,RSW,Shiraz,McLaren Vale,,South Australia,Australia,Wirra Wirra,,
114576,92,Fable Mountain 2012 Night Sky Red (Coastal Region),"This blend of 60% Syrah, 25% Grenache and 15% Mourvèdre is plush and brooding, with dense aromas and flavors of macerated blackberry, black plum and boysenberry that are laced with hints of bramble, violet and baking spice. The medium-weight palate boasts approachable tannins, ripe black-fruit flavors and a crushed satin texture. Notes of black tea, pepper and licorice grace the long finish. Drink now–2020.",Lauren Buzzeo,@laurbuzz,50.0,Night Sky,Rhône-style Red Blend,,,Coastal Region,South Africa,Fable Mountain,,
114870,92,V. Sattui 2011 Quaglia Vineyard Old Vine Zinfandel (Napa Valley),"Give this Zin extra points for sheer power. The vineyard consists of two parcels in St. Helena that date to the 1930s or earlier. It's a tremendous wine, dry, full-bodied and strong in alcohol, with blackberry, blueberry, red currant, licorice, black pepper and cedar flavors.",,,39.0,Quaglia Vineyard Old Vine,Zinfandel,Napa Valley,Napa,California,US,V. Sattui,,
114871,92,Volpaia 2010 Coltassala Riserva  (Chianti Classico),"Made from organically farmed grapes, this structured wine opens with an intense fragrance of violets, iris, leather and Mediterranean herbs. The concentrated palate delivers layers of rich, wild cherry, mocha, white pepper and clove alongside bracing but fine tannins. This needs time to unwind and develop complexity. Drink 2015–2025.",Kerin O’Keefe,@kerinokeefe,68.0,Coltassala Riserva,Red Blend,Chianti Classico,,Tuscany,Italy,Volpaia,,
